date,asset1,holdings1,cash1,total asset1,return1,positions1,asset2,holdings2,cash2,total asset2,return2,positions2
2015-10-12,175.5295867919922,-83025.4945526123,182673.29229736328,99647.79774475098,0.025616660074877506,0.0,239.21620178222656,64109.94207763672,32796.628173828125,96906.57025146484,0.0029846248024931743,0.0
2015-10-13,174.73532104492188,-82649.80685424805,182673.29229736328,100023.48544311523,0.0037701555565390343,0.0,238.48257446289065,63913.329956054695,32796.628173828125,96709.95812988281,-0.002028883295238315,0.0
2015-10-14,172.2532958984375,-81475.80895996094,182673.29229736328,101197.48333740234,0.01173722240418007,0.0,238.9227600097656,64031.29968261718,32796.628173828125,96827.92785644531,0.0012198301896073627,0.0
2015-10-15,178.6072998046875,-84481.25280761719,182673.29229736328,98192.0394897461,-0.029698800291661498,0.0,243.520248413086,65263.426574707046,32796.628173828125,98060.05474853517,0.012724912319889592,0.0
2015-10-16,176.42311096191406,-83448.13148498535,182673.29229736328,99225.16081237793,0.010521436645989146,0.0,251.1990203857422,67321.3374633789,32796.628173828125,100117.96563720703,0.02098623026419033,0.0
2015-10-19,174.28855895996094,-82438.48838806152,182673.29229736328,100234.80390930176,0.010175272971670202,0.0,248.94918823242188,66718.38244628906,32796.628173828125,99515.01062011719,-0.006022445754388817,0.0
2015-10-20,174.98353576660156,-82767.21241760254,182673.29229736328,99906.07987976074,-0.003279539807734433,0.0,249.29156494140625,66810.13940429688,32796.628173828125,99606.767578125,0.0009220413828632257,0.0
2015-10-21,173.4943084716797,-82062.80790710449,182673.29229736328,100610.48439025879,0.007050667099998353,0.0,244.35171508789065,65486.259643554695,32796.628173828125,98282.88781738281,-0.013291062373887663,0.0
2015-10-23,171.85617065429688,-81287.96871948242,182673.29229736328,101385.32357788086,0.007701376176826091,0.0,247.8731842041016,66430.01336669923,32796.628173828125,99226.64154052736,0.009602421582260767,0.0
2015-10-26,170.813720703125,-80794.88989257812,182673.29229736328,101878.40240478516,0.004863414244819397,0.0,245.77008056640625,65866.38159179688,32796.628173828125,98663.009765625,-0.005680246415194379,0.0
2015-10-27,167.1403045654297,-79057.36405944824,182673.29229736328,103615.92823791504,0.01705489870391097,0.0,243.3735198974609,65224.103332519524,32796.628173828125,98020.73150634766,-0.006509818226740571,0.0
2015-10-28,162.87120056152344,-77038.07786560059,182673.29229736328,105635.2144317627,0.019488183218424826,0.0,236.770751953125,63454.5615234375,32796.628173828125,96251.18969726562,-0.018052730089730407,0.0
2015-10-29,161.28268432617188,-76286.7096862793,182673.29229736328,106386.58261108398,0.007112857046422283,0.0,231.781967163086,62117.567199707046,32796.628173828125,94914.19537353517,-0.013890678421073499,0.0
2015-10-30,159.04885864257812,-75230.11013793945,182673.29229736328,107443.18215942383,0.00993169930274429,0.0,231.8798065185547,62143.788146972656,32796.628173828125,94940.41632080078,0.00027625949061071964,0.0
2015-11-02,160.68701171875,-76004.95654296875,182673.29229736328,106668.33575439453,-0.007211685185194772,0.0,231.73306274414065,62104.460815429695,32796.628173828125,94901.08898925781,-0.0004142317157118658,0.0
2015-11-03,160.78628540039062,-76051.91299438477,182673.29229736328,106621.37930297852,-0.00044020984375470196,0.0,230.8037872314453,61855.414978027344,32796.628173828125,94652.04315185547,-0.002624267435229699,0.0
2015-11-04,162.27549743652344,-76756.31028747559,182673.29229736328,105916.9820098877,-0.006606529550599594,0.0,233.78726196289065,62654.986206054695,32796.628173828125,95451.61437988281,0.008447479857825568,0.0
2015-11-05,158.25460815429688,-74854.42965698242,182673.29229736328,107818.86264038086,0.01795633329427404,0.0,228.79849243164065,61317.995971679695,32796.628173828125,94114.62414550781,-0.01400699446584508,0.0
2015-11-06,165.84963989257812,-78446.87966918945,182673.29229736328,104226.41262817383,-0.03331930911003289,0.0,237.7000274658203,63703.607360839844,32796.628173828125,96500.23553466797,0.02534793514631506,0.0
2015-11-09,170.218017578125,-80513.12231445312,182673.29229736328,102160.16998291016,-0.019824558796194602,0.0,240.7324066162109,64516.284973144524,32796.628173828125,97312.91314697266,0.008421509106190106,0.0
2015-11-10,171.70724487304688,-81217.52682495117,182673.29229736328,101455.76547241211,-0.006895099240886937,0.0,235.93927001953125,63231.724365234375,32796.628173828125,96028.3525390625,-0.013200309870182059,0.0
2015-11-13,172.94825744628906,-81804.52577209473,182673.29229736328,100868.76652526855,-0.005785762340960066,0.0,235.009994506836,62982.678527832046,32796.628173828125,95779.30670166017,-0.002593461522741647,0.0
2015-11-16,175.18209838867188,-82861.1325378418,182673.29229736328,99812.15975952148,-0.0104750638095924,0.0,242.88442993164065,65093.027221679695,32796.628173828125,97889.65539550781,0.022033451342690302,0.0
2015-11-17,172.0050811767578,-81358.40339660645,182673.29229736328,101314.88890075684,0.015055571834693193,0.0,242.4442443847656,64975.05749511718,32796.628173828125,97771.68566894531,-0.0012051296542607837,0.0
2015-11-18,167.1403045654297,-79057.36405944824,182673.29229736328,103615.92823791504,0.022711758973670504,0.0,235.7436370849609,63179.294738769524,32796.628173828125,95975.92291259766,-0.018366899824434957,0.0
